Transect,AL_artcal,AL_corfol,AL_cormac,AN_encrusting,AS_eresin,CB_filamentous,CCA,HC_arborescent,HC_bushy,HC_column,HC_encrusting,HC_foliose,HC_massive,HC_tabular,OC_arborescent,OC_bushy,OC_clustered,OC_digitate,OC_encrusting,OC_lobate,OC_massive,SG,SP_encrusting,SP_massive,SP_branching,Turf,ZO_encrusting
LongT3,0,0.000284538,0.001910576,0.011075248,0.001988114,0,0.20865871,0.000364108,0.009042351,0.005556808,0.123523011,0.014863023,0.024172787,0.001019671,0.000524307,0.00136048,0,0.009582354,0,0.000474068,0.000220161,0,0.00275903,0,0.000483875,0.534525512,0.039565987
LongT4,0.000412187,0,0.002128972,0.005733505,0.005194045,0,0.326049313,0,0.012355386,0.000634456,0.144321419,0.010428903,0.016796088,0,0,0.005177441,0,0.01517463,0,0,0,0,0.000155584,0.000118996,0.000475423,0.410893818,0.018466372
LongT5,0.001477781,0,0.003392838,0.00573007,0.003397803,0,0.237663962,0,0.008296716,0.000278159,0.087030014,0,0.016529646,0,0,0.005998452,0,0.004065819,0,0,0,0,0.003305274,0,0.000557233,0.558864447,0.037280648
MeiyT1,0.001348822,0,0.000258214,0,0,0,0.364046545,0,0,0,0.047466838,0,0.006621127,0,0,0,0,0.007555556,0,0.000294172,0,0,0,0,0.000316035,0.551528232,0.003357789
MeiyT2,0.001559763,0,0.000284066,0.00696565,0,0,0.358906798,0,0.00031961,0,0.034357804,0,0.003089641,0,0,0.001858233,0,0,0,0,0,0,0,0,0.001555212,0.574866437,0.001747091
MeiyT3,0.000498894,5.83E-05,3.08E-05,0.004219474,4.88E-05,0,0.378243609,0,0.000752903,0,0.058468127,0,0.005870242,0.000934389,6.99E-05,0.001098258,0,0.007389937,0,0,0,0,0,0,0.000360171,0.502800096,0.00551845
MeiyT4,0.002803546,0,0.002752605,0.001821313,0.000508864,0,0.365196083,0,0.003522529,0,0.091478504,0.006422541,0.010723646,0.003412237,0,0.00165644,0,0,0,0,0,0,0.00031153,0.000338795,0.00801125,0.455190829,0.018861132
MeiyT5,0.002037151,0,0.001786688,0.001932616,0.000559539,0,0.489068819,0,0.000475106,0,0.059355122,0.000235487,0.008611329,0.000173539,0,0.00032779,0,0.006920124,0,0,0,0,0.001613356,0.000395873,0.001216949,0.398183252,0.006610744
DongT1,0.007720983,0,0.001424197,0.0043304,0.000631565,0,0.278232962,0.001750877,0.011994179,0.00344076,0.117243673,0.022036261,0.022257147,0.008498447,0.005889442,0.001816391,0,0.00792414,0,0.013510405,0,0,0.001485211,0.00013082,0.00018004,0.423536409,0.002317891
DongT2,0.005650584,0,0,0.000753726,0.001466411,0,0.256392555,0.000527205,0.009691474,0.008718311,0.109606668,0.002210845,0.014211519,0.046568073,0.000378354,0.003900785,0,0.00848854,0,0.000185653,0,0,0.008203599,0,0.00021481,0.477382919,0.000899994
DongT3,0.005317102,0,0.001613662,0.003743965,0,0,0.183085726,0.000954176,0.0075987,0.000378834,0.11596671,0,0.010586909,0.023286699,0.000248619,0.007134406,0,0.01849362,0.001674019,0.000374752,0.000565102,0,0.001792436,0,0,0.563669786,0.003569247
DongT4,0.002040449,0,0.00063848,0.003609128,7.61E-05,0,0.161922087,0.030679034,0.024148364,0.00110263,0.057065329,0,0.00685495,0.039636151,0,0.00230911,0,0.003748444,0,0.001388137,0,0,0.006118878,0,0,0.610213403,0.004782834
DongT5,0.004992279,0,0.000577018,0,0,0,0.186061996,0.022106448,0.013747614,0,0.105224863,0.003721445,0.063203336,0.052951376,0,0,0,0.009377766,0,0.016927724,0,0,0,0,0,0.497866262,0.002775478
HenRT1,0.001900265,0,0,0,0,0,0.26153438,0.033361127,0.023347067,0.004133078,0.150998918,0.025178218,0.081655893,0.091157204,0.000249127,0,0,0.006350079,0,0.007076091,0.000278322,0,0.017336196,0,0.0008326,0.251289413,0.003720552
HenRT2,0.00262658,0,0,0,0,0,0.237339125,0.02240305,0.018611783,0.009732473,0.133769664,0.042267113,0.046305173,0.047093122,0,0,0,0.000817903,0,0.00241764,0,0,0.002379506,0.000221785,0.002016518,0.365763441,0.014246238
HenRT3,0,0,5.29E-05,0,0,0,0.244367588,0.008940885,0.017643667,0.00348343,0.132587856,0.04044693,0.020113387,0.010660321,0,0.000154408,0,0.00286576,0,0.002057307,0,0,0.010749774,0,0.000609477,0.41792633,0.009637746
HenRT4,0.001158347,0,0,0,0,0,0.167537543,0.012478846,0.009974914,0.004400344,0.275907325,0.039858878,0.101537558,0.009790737,0,0,0,0.024313662,0,0.004712554,0,0,0.000822213,0,0.001179861,0.298775588,0.014508587
HenRT5,0.00339413,0,0,0,0,0,0.304457101,0.01167882,0.027242938,0.00104494,0.172099323,0.022469753,0.066259699,0.021683635,0,0,0,0.030990348,0,0.000434278,0,0,0.001331687,0,0.001472548,0.300807818,0.011957217
GreeT1,0.003976647,0,0.000103233,0,0,0,0.31652737,0,0.004780935,0.000237775,0.086265349,0.001205348,0.024253266,0.000479459,0,0,0,0.000766502,0,6.49E-05,0,0,0,0,0,0.472114774,0.000682011
GreeT2,0.004399822,0,0.000137076,0,0,0,0.440229958,0.006418154,0.010871271,0,0.172202748,0.009414822,0.016880997,0.002949783,0,0,0,0.00653318,0,0.00017487,0,0,0.00047707,0,0.004066472,0.24778511,0.008320203
GreeT3,0.002090969,0,0,0,0,0,0.326583129,0.002081188,0.038377423,0.002444823,0.140318974,0.016342621,0.043167377,0.001162362,0,0,0,0.00986374,0,0,0,0,0.00332532,0,0,0.252420387,0.004645206
GreeT4,0.004690401,0,0,0,0,0,0.420603814,0.018189569,0.213989342,0.003952484,0.068971142,0.001459476,0.023457984,0.010044818,0,0.002149161,0,0.012314026,0,0.000848025,0,0,0,0,0,0.190618215,0.001773755
GreeT5,0.003258963,0,8.34E-05,0,0,0,0.347752226,0.043758912,0.205856901,0.005573941,0.069512353,0.005624526,0.008546869,0.017763886,0,0.001171199,0,0.015624548,0,0.004752683,0,0,0,0,0,0.244468872,0.001667685
LionT1,0.003144109,0,0,0,0,0,0.250941336,0.002791075,0.031168456,0,0.190069945,0.013568819,0.026123642,0.016024419,0,0,0.000236208,0.048344587,0,0.009308048,0.000202015,0,0,0,0.000131784,0.355686503,0.001304015
LionT2,0.012763016,0,0.000114468,0,0,0,0.227111911,0.015393217,0.017667886,0.00181462,0.192380836,0.02062242,0.06463739,0.00776713,0.000134293,0,0,0.033613447,0,0.002372628,0,0,0.003583181,0,0.002590817,0.349894284,0.012034212
LionT3,0.004549027,0,0,0,0,0,0.173574419,0.011677825,0.008331146,0,0.190934507,0.018825491,0.0274855,0.009458508,0,0,0,0.006839628,0,0.001227966,0,0,0.000481766,0,0.000380184,0.474375937,0.021336387
LionT4,0.009528427,0,4.16E-05,0,0,0,0.217469956,0.001112142,0.01815236,0,0.272072566,0.026197133,0.057775202,0.000282474,0.001669898,0.00160558,7.08E-05,0.022089228,0,0.009845947,0,0,8.75E-05,0,0.000523154,0.316000919,0.009978262
LionT5,0.005093245,0.000723496,0.000331487,0,0,0,0.232322327,0.000753363,0.013087057,0.000429675,0.253564077,0.028830349,0.039282805,0.004159131,0,0.002202821,0,0.010899433,0,0.005486638,0,0,0.000901659,0,0.001306928,0.322473402,0.012340422
YayoT1,0.006213762,8.47E-05,0.000714498,0,0,0,0.298507425,0.001049688,0.041029435,0.000815289,0.083341337,0.016124775,0.015945202,0.001791188,0.001351096,0.001550152,0,0.005086173,0,0.0157186,0,0,0,0,0.000205626,0.481697069,0
YayoT2,0.004813266,0,5.53E-05,0,0,0,0.303743783,0.003213085,0.08740339,0,0.070586255,0.013450288,0.009207145,0.00267362,0,0.000385286,0,0.001826619,0,0.00800088,0,0,0.003601281,0,0.000360329,0.45149556,0.004024077
YayoT3,0.001442058,0,0.000216611,0,0,0,0.227306844,0.026982502,0.035412642,0,0.131096937,0.048433659,0.006125215,0.001998775,0,0,0,0.00356652,0,0,0,0,0,0,6.17E-05,0.480628264,4.57E-05
YayoT4,0.003089186,0,5.37E-05,0,0,0,0.210054269,0.0004188,0.020552104,0.000143857,0.117267141,0.036717581,0.035882133,0.01351514,0,0.000487882,0,0.011781298,0,0.011909094,0,0,0,0,0.00032057,0.502525874,0.001852799
YayoT5,0.000492991,0,0,0,0,0,0.263642094,0.00237307,0.066888095,0.003581151,0.150157194,0.047043795,0.040223269,0.002768362,0.001202088,0.004126568,0,0.015704174,0,0.009190189,0,0,2.95E-05,0,0.00043037,0.356053411,7.25E-05
